tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
283.00;End_2;1000.00;0.00;15.16;3.00;0.06;Beg_3;19.50;0.00;0.00;tripinfo_normal_car.2 routing_normal_car.2;280.00;normal_car.2;1;6996.50;1.01;0.00;13.04;normal_car;;0;0.00
284.00;End_2;1000.00;0.00;15.45;6.00;0.12;Beg_2;40.30;0.00;0.00;tripinfo_normal_car.4 routing_normal_car.4;278.00;normal_car.4;1;6975.70;1.03;0.00;13.42;normal_car;;0;0.00
285.00;End_3;1000.00;0.00;15.00;0.00;0.00;Beg_3;0.00;0.00;0.00;tripinfo_bus.0 routing_bus.0;285.00;bus.0;1;7016.00;1.00;0.00;16.85;bus;;0;0.00
286.00;End_2;1000.00;0.00;15.90;0.00;0.00;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.0 routing_normal_car.0;286.00;normal_car.0;1;7016.00;1.06;0.00;21.36;normal_car;;0;0.00
287.00;End_2;1000.00;0.00;16.24;5.00;0.59;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.3 routing_normal_car.3;282.00;normal_car.3;1;7016.00;1.08;0.00;19.08;normal_car;;0;0.00
290.00;End_2;1000.00;0.00;16.36;15.00;0.30;Beg_3;56.90;0.00;0.00;tripinfo_normal_car.10 routing_normal_car.10;275.00;normal_car.10;1;6959.10;1.09;0.00;13.87;normal_car;;0;0.00
294.00;End_2;1000.00;0.00;15.69;9.00;0.18;Beg_3;10.00;0.00;0.00;tripinfo_normal_car.6 routing_normal_car.6;285.00;normal_car.6;1;7006.00;1.05;0.00;20.64;normal_car;;0;0.00
303.00;End_2;1000.00;0.00;14.07;2.00;0.53;Beg_2;13.60;0.00;0.00;tripinfo_normal_car.1 routing_normal_car.1;301.00;normal_car.1;1;7002.40;0.94;0.00;17.72;normal_car;;0;0.00
303.00;End_3;1000.00;0.00;15.71;18.00;0.36;Beg_3;32.09;0.00;0.00;tripinfo_normal_car.12 routing_normal_car.12;285.00;normal_car.12;1;6983.91;1.05;0.00;20.90;normal_car;;0;0.00
309.00;End_2;1000.00;0.00;15.27;30.00;0.60;Beg_3;60.20;0.00;0.00;tripinfo_normal_car.20 routing_normal_car.20;279.00;normal_car.20;1;6955.80;1.02;0.00;13.96;normal_car;;0;0.00
312.00;End_2;1000.00;0.00;15.39;17.00;0.83;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.11 routing_normal_car.11;295.00;normal_car.11;1;7016.00;1.03;0.00;28.84;normal_car;;0;0.00
316.00;End_2;1000.00;0.00;14.07;12.00;0.24;Beg_2;10.00;0.00;0.00;tripinfo_normal_car.8 routing_normal_car.8;304.00;normal_car.8;1;7006.00;0.94;0.00;21.08;normal_car;;0;0.00
316.00;End_1;1000.00;-0.25;30.00;50.00;0.00;Beg_2;0.00;0.00;0.00;tripinfo_bus.1 routing_bus.1;266.00;bus.1;1;7016.00;1.00;0.00;26.22;bus;;0;0.00
317.00;End_3;1000.00;-1.00;14.87;21.00;0.42;Beg_2;10.00;0.00;0.00;tripinfo_normal_car.14 routing_normal_car.14;296.00;normal_car.14;1;7006.00;0.99;0.00;25.92;normal_car;;0;0.00
323.00;End_2;1000.00;0.00;17.37;28.00;0.07;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.19 routing_normal_car.19;295.00;normal_car.19;1;7016.00;1.16;0.00;35.82;normal_car;;0;0.00
325.00;End_2;1000.00;0.00;14.04;27.00;0.54;Beg_2;63.94;0.00;0.00;tripinfo_normal_car.18 routing_normal_car.18;298.00;normal_car.18;1;6952.06;0.94;0.00;16.00;normal_car;;0;0.00
329.00;End_2;1000.00;0.00;14.12;25.00;0.01;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.17 routing_normal_car.17;304.00;normal_car.17;1;7016.00;0.94;0.00;21.34;normal_car;;0;0.00
329.00;End_3;1000.00;0.00;15.15;31.00;0.13;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.21 routing_normal_car.21;298.00;normal_car.21;1;7016.00;1.01;0.00;30.47;normal_car;;0;0.00
332.00;End_3;1000.00;0.00;16.84;20.00;0.89;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.13 routing_normal_car.13;312.00;normal_car.13;1;7016.00;1.12;0.00;51.39;normal_car;;0;0.00
332.00;End_2;1000.00;0.00;14.63;33.00;0.66;Beg_2;13.60;0.00;0.00;tripinfo_normal_car.22 routing_normal_car.22;299.00;normal_car.22;1;7002.40;0.98;0.00;25.51;normal_car;;0;0.00
333.00;End_3;1000.00;-1.00;17.58;49.00;0.49;Beg_3;40.30;0.00;0.00;tripinfo_normal_car.33 routing_normal_car.33;284.00;normal_car.33;1;6975.70;1.17;0.00;27.77;normal_car;;0;0.00
335.00;End_2;1000.00;0.00;12.85;14.00;0.77;Beg_2;23.60;0.00;0.00;tripinfo_normal_car.9 routing_normal_car.9;321.00;normal_car.9;1;6992.40;0.86;0.00;14.26;normal_car;;0;0.00
