tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
282.00;End_2;1000.00;0.00;15.16;3.00;0.06;Beg_3;19.50;0.00;0.00;tripinfo_normal_car.2 routing_normal_car.2;279.00;normal_car.2;1;6986.50;1.01;0.00;13.27;normal_car;;0;0.00
284.00;End_3;1000.00;0.00;15.00;0.00;0.00;Beg_3;0.00;0.00;0.00;tripinfo_bus.0 routing_bus.0;284.00;bus.0;1;7006.00;1.00;0.00;16.66;bus;;0;0.00
284.00;End_2;1000.00;0.00;15.45;6.00;0.12;Beg_2;40.30;0.00;0.00;tripinfo_normal_car.4 routing_normal_car.4;278.00;normal_car.4;1;6965.70;1.03;0.00;13.66;normal_car;;0;0.00
285.00;End_2;1000.00;0.00;15.90;0.00;0.00;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.0 routing_normal_car.0;285.00;normal_car.0;1;7006.00;1.06;0.00;21.64;normal_car;;0;0.00
286.00;End_3;1000.00;-1.00;16.24;5.00;0.59;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.3 routing_normal_car.3;281.00;normal_car.3;1;7006.00;1.08;0.00;18.98;normal_car;;0;0.00
289.00;End_2;1000.00;0.00;16.36;15.00;0.30;Beg_3;56.90;0.00;0.00;tripinfo_normal_car.10 routing_normal_car.10;274.00;normal_car.10;1;6949.10;1.09;0.00;13.96;normal_car;;0;0.00
294.00;End_2;1000.00;0.00;15.69;9.00;0.18;Beg_3;10.00;0.00;0.00;tripinfo_normal_car.6 routing_normal_car.6;285.00;normal_car.6;1;6996.00;1.05;0.00;20.47;normal_car;;0;0.00
302.00;End_2;1000.00;0.00;14.07;2.00;0.53;Beg_2;13.60;0.00;0.00;tripinfo_normal_car.1 routing_normal_car.1;300.00;normal_car.1;1;6992.40;0.94;0.00;17.60;normal_car;;0;0.00
303.00;End_3;1000.00;-1.00;15.71;18.00;0.36;Beg_3;32.09;0.00;0.00;tripinfo_normal_car.12 routing_normal_car.12;285.00;normal_car.12;1;6973.91;1.05;0.00;21.06;normal_car;;0;0.00
308.00;End_2;1000.00;0.00;15.27;30.00;0.60;Beg_3;60.20;0.00;0.00;tripinfo_normal_car.20 routing_normal_car.20;278.00;normal_car.20;1;6945.80;1.02;0.00;13.97;normal_car;;0;0.00
310.00;End_1;1000.00;-0.25;30.00;50.00;0.00;Beg_2;0.00;0.00;0.00;tripinfo_bus.1 routing_bus.1;260.00;bus.1;1;7006.00;1.00;0.00;25.00;bus;;0;0.00
312.00;End_2;1000.00;0.00;15.39;17.00;0.83;Beg_3;0.00;0.00;0.00;tripinfo_normal_car.11 routing_normal_car.11;295.00;normal_car.11;1;7006.00;1.03;0.00;29.11;normal_car;;0;0.00
315.00;End_3;1000.00;0.00;14.87;21.00;0.42;Beg_2;10.00;0.00;0.00;tripinfo_normal_car.14 routing_normal_car.14;294.00;normal_car.14;1;6996.00;0.99;0.00;25.12;normal_car;;0;0.00
316.00;End_2;1000.00;0.00;14.07;12.00;0.24;Beg_2;10.00;0.00;0.00;tripinfo_normal_car.8 routing_normal_car.8;304.00;normal_car.8;1;6996.00;0.94;0.00;20.90;normal_car;;0;0.00
325.00;End_2;1000.00;0.00;14.04;27.00;0.54;Beg_2;63.94;0.00;0.00;tripinfo_normal_car.18 routing_normal_car.18;298.00;normal_car.18;1;6942.06;0.94;0.00;15.97;normal_car;;0;0.00
327.00;End_2;1000.00;0.00;15.15;31.00;0.13;Beg_2;0.00;0.00;0.00;tripinfo_normal_car.21 routing_normal_car.21;296.00;normal_car.21;1;7006.00;1.01;0.00;28.57;normal_car;;0;0.00
