tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalPosLat,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departPosLat,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
253,End_1,1000,0,30,9,0.67,Beg_1,63.3,0,0,tripinfo_paying_car.5 routing_paying_car.5,244,paying_car.5,1,6942.7,1.03,0,12,paying_car,,0,0
296,End_1,1000,0,24.93,4,0.67,Beg_1,27.2,0,0,tripinfo_paying_car.2 routing_paying_car.2,292,paying_car.2,1,6978.8,0.83,0,17.68,paying_car,,0,0
297,End_1,1000,0,26.13,2,0.33,Beg_1,13.6,0,0,tripinfo_paying_car.1 routing_paying_car.1,295,paying_car.1,1,6992.4,1.08,0,61.33,paying_car,,0,0
298,End_1,1000,0,26.13,5,0,Beg_2,33.1,0,0,tripinfo_paying_car.3 routing_paying_car.3,293,paying_car.3,1,6972.9,0.89,0,34.35,paying_car,,0,0
299,End_1,1000,0,26.13,0,0,Beg_1,0,0,0,tripinfo_paying_car.0 routing_paying_car.0,299,paying_car.0,1,7006,0.94,0,52.18,paying_car,,0,0
301,End_1,1000,0,25.71,7,0.34,Beg_1,0,0,0,tripinfo_paying_car.4 routing_paying_car.4,294,paying_car.4,1,7006,0.86,0,26.25,paying_car,,0,0
302,End_1,1000,0,26.91,15,0.01,Beg_1,23.6,0,0,tripinfo_paying_car.9 routing_paying_car.9,287,paying_car.9,1,6982.4,1.16,0,53.78,paying_car,,0,0
303,End_1,1000,0,26.91,14,0.67,Beg_1,13.6,0,0,tripinfo_paying_car.8 routing_paying_car.8,289,paying_car.8,1,6992.4,0.94,0,43.21,paying_car,,0,0
305,End_1,1000,0,27.94,24,0.68,Beg_1,49.7,0,0,tripinfo_paying_car.14 routing_paying_car.14,281,paying_car.14,1,6956.3,0.93,0,33.34,paying_car,,0,0
306,End_1,1000,0,26.69,19,0.67,Beg_1,13.6,0,0,tripinfo_paying_car.11 routing_paying_car.11,287,paying_car.11,1,6992.4,0.89,0,28.35,paying_car,,0,0
307,End_1,1000,0,27.89,17,0.34,Beg_1,0,0,0,tripinfo_paying_car.10 routing_paying_car.10,290,paying_car.10,1,7006,1.01,0,56.07,paying_car,,0,0
308,End_1,1000,0,27.89,22,0.34,Beg_1,0,0,0,tripinfo_paying_car.13 routing_paying_car.13,286,paying_car.13,1,7006,0.95,0,41.5,paying_car,,0,0
310,End_1,1000,0,27.81,12,0.34,Beg_1,0,0,0,tripinfo_paying_car.7 routing_paying_car.7,298,paying_car.7,1,7006,0.93,0,47.72,paying_car,,0,0
311,End_1,1000,0,29.01,10,0,Beg_2,69.2,0,0,tripinfo_paying_car.6 routing_paying_car.6,301,paying_car.6,1,6936.8,1.12,0,43.43,paying_car,,0,0
326,End_1,1000,0,25.51,40,0.02,Beg_1,97.2,0,0,tripinfo_paying_car.24 routing_paying_car.24,286,paying_car.24,1,6908.8,0.85,0,19.63,paying_car,,0,0
327,End_1,1000,0,26.71,34,0.68,Beg_1,50.3,0,0,tripinfo_paying_car.20 routing_paying_car.20,293,paying_car.20,1,6955.7,0.96,0,51.65,paying_car,,0,0
328,End_1,1000,0,26.71,30,0.01,Beg_1,23.6,0,0,tripinfo_paying_car.18 routing_paying_car.18,298,paying_car.18,1,6982.4,1.18,0,65.01,paying_car,,0,0
330,End_1,1000,0,27.99,29,0.68,Beg_1,13.6,0,0,tripinfo_paying_car.17 routing_paying_car.17,301,paying_car.17,1,6992.4,1.02,0,67.02,paying_car,,0,0
332,End_1,1000,0,30,27,0.34,Beg_1,0,0,0,tripinfo_paying_car.16 routing_paying_car.16,305,paying_car.16,1,7006,1.17,0,71.21,paying_car,,0,0
353,End_1,1000,0,27.02,32,0.35,Beg_1,0,0,0,tripinfo_paying_car.19 routing_paying_car.19,321,paying_car.19,1,7006,0.9,0,64.45,paying_car,,0,0
354,End_1,1000,0,28.23,50,0.02,Beg_3,242.6,0,0,tripinfo_paying_car.30 routing_paying_car.30,304,paying_car.30,1,6763.4,1.12,0,77.95,paying_car,,0,0
360,End_1,1000,0,29.09,49,0.69,Beg_3,207.4,0,0,tripinfo_paying_car.29 routing_paying_car.29,311,paying_car.29,1,6798.6,0.97,0,77.78,paying_car,,1,2
377,End_1,1000,0,26.18,20,0.01,Beg_2,7.6,0,0,tripinfo_paying_car.12 routing_paying_car.12,357,paying_car.12,1,6998.4,0.87,0,93.84,paying_car,,0,0
378,End_1,1000,0,27.45,35,0.01,Beg_2,7.6,0,0,tripinfo_paying_car.21 routing_paying_car.21,343,paying_car.21,1,6998.4,1.04,0,109.38,paying_car,,0,0
382,End_1,1000,0,30,37,0.35,Beg_1,0,0,0,tripinfo_paying_car.22 routing_paying_car.22,345,paying_car.22,1,7006,1.09,0,110.66,paying_car,,0,0
390,End_1,1000,0,30,44,0.68,Beg_1,13.6,0,0,tripinfo_paying_car.26 routing_paying_car.26,346,paying_car.26,1,6992.4,1.1,0,112.88,paying_car,,0,0
398,End_1,1000,0,30,47,0.35,Beg_3,28.8,0,0,tripinfo_paying_car.28 routing_paying_car.28,351,paying_car.28,1,6977.2,1.14,0,118.11,paying_car,,0,0
410,End_1,1000,0,27.44,55,0.02,Beg_1,23.6,0,0,tripinfo_paying_car.33 routing_paying_car.33,355,paying_car.33,1,6982.4,0.91,0,103.21,paying_car,,0,0
418,End_1,1000,0,26.47,54,0.69,Beg_1,13.6,0,0,tripinfo_paying_car.32 routing_paying_car.32,364,paying_car.32,1,6992.4,0.88,0,104,paying_car,,0,0
424,End_1,1000,0,29.19,59,0.69,Beg_1,11.1,0,0,tripinfo_paying_car.35 routing_paying_car.35,365,paying_car.35,1,6994.9,0.97,0,125.65,paying_car,,0,0
431,End_1,1000,0,30,57,0.36,Beg_1,0,0,0,tripinfo_paying_car.34 routing_paying_car.34,374,paying_car.34,1,7006,1.02,0,140.12,paying_car,,0,0
440,End_1,1000,0,28.5,67,0.36,Beg_1,19.5,0,0,tripinfo_paying_car.40 routing_paying_car.40,373,paying_car.40,1,6986.5,1,0,139.14,paying_car,,0,0
443,End_2,1000,0,15.45,4,0.67,Beg_3,26.7,0,0,tripinfo_normal_car.2 routing_normal_car.2,439,normal_car.2,1,6979.3,1.03,0,17.46,normal_car,,0,0
444,End_1,1000,0,16.91,65,0.03,Beg_2,17.6,0,0,tripinfo_paying_car.39 routing_paying_car.39,379,paying_car.39,1,6988.4,1.09,0,146.01,paying_car,,0,0
446,End_1,1000,0,18.11,64,0.69,Beg_1,0,0,0,tripinfo_paying_car.38 routing_paying_car.38,382,paying_car.38,1,7006,0.98,0,144.37,paying_car,,0,0
447,End_1,1000,0,18.11,70,0.03,Beg_3,26.2,0,0,tripinfo_paying_car.42 routing_paying_car.42,377,paying_car.42,1,6979.8,0.98,0,139.24,paying_car,,0,0
449,End_1,1000,0,19.31,60,0.02,Beg_3,285.03,0,0,tripinfo_paying_car.36 routing_paying_car.36,389,paying_car.36,1,6720.97,1.06,0,113.74,paying_car,,0,0
450,End_1,1000,0,19.32,25,0.01,Beg_2,7.6,0,0,tripinfo_paying_car.15 routing_paying_car.15,425,paying_car.15,1,6998.4,1.15,0,180.78,paying_car,,0,0
451,End_1,1000,0,19.42,45,0.02,Beg_3,7.6,0,0,tripinfo_paying_car.27 routing_paying_car.27,406,paying_car.27,1,6998.4,1,0,161.61,paying_car,,1,1
453,End_1,1000,0,21.3,52,0.35,Beg_1,0,0,0,tripinfo_paying_car.31 routing_paying_car.31,401,paying_car.31,1,7006,0.99,0,155.04,paying_car,,0,0
455,End_2,1000,0,16.53,32,0.35,Beg_2,109.71,0,0,tripinfo_normal_car.19 routing_normal_car.19,423,normal_car.19,1,6896.29,1.1,0,28.86,normal_car,,0,0
455,End_1,1000,0,25.79,69,0.69,Beg_3,67.4,0,0,tripinfo_paying_car.41 routing_paying_car.41,386,paying_car.41,1,6938.6,0.97,0,147.22,paying_car,,0,0
459,End_2,1000,0,15,0,0,Beg_3,0,0,0,tripinfo_bus.0 routing_bus.0,459,bus.0,1,7006,1,0,24.57,bus,,0,0
460,End_1,1000,0,19.97,90,0.04,Beg_1,115.3,0,0,tripinfo_paying_car.54 routing_paying_car.54,370,paying_car.54,1,6890.7,0.96,0,131.66,paying_car,,0,0
462,End_2,1000,0,16.98,24,0.68,Beg_3,16.3,0,0,tripinfo_normal_car.14 routing_normal_car.14,438,normal_car.14,1,6989.7,1.13,0,50.86,normal_car,,0,0
462,End_1,1000,0,21.17,87,0.37,Beg_1,95.8,0,0,tripinfo_paying_car.52 routing_paying_car.52,375,paying_car.52,1,6910.2,1.07,0,144,paying_car,,0,0
463,End_1,1000,0,19.26,95,0.04,Beg_1,89.24,0,0,tripinfo_paying_car.57 routing_paying_car.57,368,paying_car.57,1,6916.76,0.92,0,120.3,paying_car,,0,0
465,End_1,1000,0,20.48,74,0.7,Beg_1,0,0,0,tripinfo_paying_car.44 routing_paying_car.44,391,paying_car.44,1,7006,1.02,0,156.85,paying_car,,0,0
466,End_2,1000,0,15.69,5,0,Beg_2,0,0,0,tripinfo_normal_car.3 routing_normal_car.3,461,normal_car.3,1,7006,1.05,0,44.7,normal_car,,0,0
466,End_1,1000,0,20.65,79,0.7,Beg_1,0,0,0,tripinfo_paying_car.47 routing_paying_car.47,387,paying_car.47,1,7006,1.06,0,153.13,paying_car,,0,0
468,End_1,1000,0,18.52,89,0.7,Beg_1,0,0,0,tripinfo_paying_car.53 routing_paying_car.53,379,paying_car.53,1,7006,1.03,0,145.09,paying_car,,0,0
469,End_1,1000,0,18.52,93,1.37,Beg_1,0,0,0,tripinfo_paying_car.55 routing_paying_car.55,376,paying_car.55,1,7006,0.87,0,111.29,paying_car,,0,0
471,End_1,1000,0,19.72,109,0.71,Beg_2,296.81,0,0,tripinfo_paying_car.65 routing_paying_car.65,362,paying_car.65,1,6709.19,1.07,0,137.83,paying_car,,0,0
472,End_1,1000,0,19.72,82,0.37,Beg_1,59.7,0,0,tripinfo_paying_car.49 routing_paying_car.49,390,paying_car.49,1,6946.3,1.1,0,158.17,paying_car,,0,0
473,End_1,1000,0,19.72,105,0.04,Beg_1,43.1,0,0,tripinfo_paying_car.63 routing_paying_car.63,368,paying_car.63,1,6962.9,0.82,0,92.39,paying_car,,0,0
474,End_2,1000,0,15.71,10,0,Beg_3,19.5,0,0,tripinfo_normal_car.6 routing_normal_car.6,464,normal_car.6,1,6986.5,1.05,0,48.54,normal_car,,0,0
475,End_1,1000,0,21.32,102,0.37,Beg_1,23.6,0,0,tripinfo_paying_car.61 routing_paying_car.61,373,paying_car.61,1,6982.4,1.02,0,139.84,paying_car,,0,0
476,End_1,1000,0,21.35,100,0.04,Beg_1,10,0,0,tripinfo_paying_car.60 routing_paying_car.60,376,paying_car.60,1,6996,1.1,0,142.64,paying_car,,0,0
477,End_2,1000,0,14.63,19,0.67,Beg_3,93.72,0,0,tripinfo_normal_car.11 routing_normal_car.11,458,normal_car.11,1,6912.28,0.98,0,16.36,normal_car,,0,0
478,End_2,1000,0,14.87,12,0.34,Beg_3,0,0,0,tripinfo_normal_car.7 routing_normal_car.7,466,normal_car.7,1,7006,0.99,0,28.36,normal_car,,0,0
478,End_1,1000,0,22.63,99,0.71,Beg_1,0,0,0,tripinfo_paying_car.59 routing_paying_car.59,379,paying_car.59,1,7006,1.07,0,144.82,paying_car,,0,0
479,End_1,1000,0,23.02,98,1.37,Beg_2,7.6,0,0,tripinfo_paying_car.58 routing_paying_car.58,381,paying_car.58,1,6998.4,1,0,147.42,paying_car,,1,1
480,End_2,1000,0,15.16,2,0.33,Beg_2,13.6,0,0,tripinfo_normal_car.1 routing_normal_car.1,478,normal_car.1,1,6992.4,1.01,0,48.26,normal_car,,0,0
481,End_1,1000,0,18.27,110,0.04,Beg_1,13.6,0,0,tripinfo_paying_car.66 routing_paying_car.66,371,paying_car.66,1,6992.4,1.04,0,137.91,paying_car,,0,0
483,End_2,1000,0,15.9,0,0,Beg_2,0,0,0,tripinfo_normal_car.0 routing_normal_car.0,483,normal_car.0,1,7006,1.06,0,71.25,normal_car,,0,0
483,End_3,1000,0,16.36,9,0.67,Beg_2,0,0,0,tripinfo_normal_car.5 routing_normal_car.5,474,normal_car.5,1,7006,1.09,0,73.04,normal_car,,0,0
483,End_1,1000,0,20.18,124,0.72,Beg_1,110,0,0,tripinfo_paying_car.74 routing_paying_car.74,359,paying_car.74,1,6896,1.04,0,128.83,paying_car,,0,0
484,End_2,1000,0,17.68,25,0.01,Beg_2,0,0,0,tripinfo_normal_car.15 routing_normal_car.15,459,normal_car.15,1,7006,1.18,0,85.86,normal_car,,1,1
484,End_1,1000,0,20.19,122,0.38,Beg_1,96.4,0,0,tripinfo_paying_car.73 routing_paying_car.73,362,paying_car.73,1,6909.6,1,0,131.62,paying_car,,0,0
485,End_3,1000,0.3,17.53,42,0.35,Beg_1,0,0,0,tripinfo_paying_car.25 routing_paying_car.25,443,paying_car.25,1,7006,1.17,0,66.28,paying_car,,0,0
486,End_1,1000,0,19.93,117,0.38,Beg_1,60.3,0,0,tripinfo_paying_car.70 routing_paying_car.70,369,paying_car.70,1,6945.7,1.16,0,137.21,paying_car,,0,0
488,End_2,1000,0,16.24,50,0.02,Beg_3,217.4,0,0,tripinfo_normal_car.30 routing_normal_car.30,438,normal_car.30,1,6788.6,1.08,0,41.13,normal_car,,1,2
488,End_1,1000,0,22.06,108,1.38,Beg_1,0,0,0,tripinfo_paying_car.64 routing_paying_car.64,380,paying_car.64,1,7006,1.01,0,145.9,paying_car,,0,0
489,End_2,1000,0,14.04,15,0.01,Beg_2,52.16,0,0,tripinfo_normal_car.9 routing_normal_car.9,474,normal_car.9,1,6953.84,0.94,0,14.35,normal_car,,0,0
490,End_1,1000,0,22.1,114,0.71,Beg_1,0,0,0,tripinfo_paying_car.68 routing_paying_car.68,376,paying_car.68,1,7006,1.02,0,142.36,paying_car,,0,0
491,End_2,1000,0,15.08,27,0.34,Beg_2,76.61,0,0,tripinfo_normal_car.16 routing_normal_car.16,464,normal_car.16,1,6929.39,1.01,0,33.82,normal_car,,0,0
491,End_3,1000,0,14.92,29,0.68,Beg_2,90.21,0,0,tripinfo_normal_car.17 routing_normal_car.17,462,normal_car.17,1,6915.79,0.99,0,28.51,normal_car,,0,0
492,End_1,1000,0,18.71,125,0.05,Beg_1,0,0,0,tripinfo_paying_car.75 routing_paying_car.75,367,paying_car.75,1,7006,1,0,133.45,paying_car,,0,0
494,End_1,1000,0,19.95,120,1.71,Beg_1,0,0,0,tripinfo_paying_car.71 routing_paying_car.71,374,paying_car.71,1,7006,1.13,0,140.04,paying_car,,1,1
495,End_1,1000,0,19.96,94,0.7,Beg_1,10,0,0,tripinfo_paying_car.56 routing_paying_car.56,401,paying_car.56,1,6996,1.01,0,144.33,paying_car,,0,0
497,End_1,1000,0,21.84,104,0.71,Beg_1,0,0,0,tripinfo_paying_car.62 routing_paying_car.62,393,paying_car.62,1,7006,1.15,0,149.33,paying_car,,0,0
498,End_2,1000,0,14.07,7,0.34,Beg_3,0,0,0,tripinfo_normal_car.4 routing_normal_car.4,491,normal_car.4,1,7006,0.94,0,30.07,normal_car,,0,0
498,End_3,1000,0,15.35,49,0.69,Beg_3,199.8,0,0,tripinfo_normal_car.29 routing_normal_car.29,449,normal_car.29,1,6806.2,1.02,0,30.48,normal_car,,2,3
499,End_1,1000,0,17.3,115,0.05,Beg_1,46.7,0,0,tripinfo_paying_car.69 routing_paying_car.69,384,paying_car.69,1,6959.3,0.95,0,136.61,paying_car,,0,0
500,End_3,1000,0,16.38,35,0.01,Beg_2,0,0,0,tripinfo_normal_car.21 routing_normal_car.21,465,normal_car.21,1,7006,1.09,0,63.91,normal_car,,1,1
500,End_2,1000,0,15.35,59,0.69,Beg_3,239.11,0,0,tripinfo_normal_car.35 routing_normal_car.35,441,normal_car.35,1,6766.89,1.02,0,23.42,normal_car,,0,0
501,End_1,1000,0,18.45,120,0.05,Beg_1,7.6,0,0,tripinfo_paying_car.72 routing_paying_car.72,381,paying_car.72,1,6998.4,1.14,0,146.96,paying_car,,0,0
502,End_2,1000,0,15.25,44,0.68,Beg_2,108.3,0,0,tripinfo_normal_car.26 routing_normal_car.26,458,normal_car.26,1,6897.7,1.02,0,33.77,normal_car,,0,0
502,End_1,1000,0,18.53,140,0.06,Beg_1,43.1,0,0,tripinfo_paying_car.84 routing_paying_car.84,362,paying_car.84,1,6962.9,0.94,0,117.04,paying_car,,0,0
504,End_1,1000,0,19.73,137,0.39,Beg_1,23.6,0,0,tripinfo_paying_car.82 routing_paying_car.82,367,paying_car.82,1,6982.4,0.91,0,114.9,paying_car,,0,0
505,End_1,1000,0,19.73,134,0.72,Beg_1,0,0,0,tripinfo_paying_car.80 routing_paying_car.80,371,paying_car.80,1,7006,1.08,0,137.2,paying_car,,0,0
506,End_1,1000,0,19.73,144,0.72,Beg_2,110.99,0,0,tripinfo_paying_car.86 routing_paying_car.86,362,paying_car.86,1,6895.01,1.14,0,132.15,paying_car,,0,0
508,End_2,1000,0,15.65,37,0.35,Beg_3,19.5,0,0,tripinfo_normal_car.22 routing_normal_car.22,471,normal_car.22,1,6986.5,1.04,0,54.53,normal_car,,0,0
