tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalPosLat,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departPosLat,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
246,End_1,1000,-0.25,30,0,0,Beg_1,0,0,0,tripinfo_bus.0 routing_bus.0,246,bus.0,1,7006,1,0,12,bus,,0,0
277,End_2,1000,0,15.9,0,0,Beg_2,0,0,0,tripinfo_normal_car.0 routing_normal_car.0,277,normal_car.0,1,7006,1.06,0,13.1,normal_car,,0,0
283,End_2,1000,0,15.16,3,0.06,Beg_3,10,0,0,tripinfo_normal_car.2 routing_normal_car.2,280,normal_car.2,1,6996,1.01,0,13.34,normal_car,,0,0
285,End_2,1000,0,15.45,6,0.12,Beg_2,10,0,0,tripinfo_normal_car.4 routing_normal_car.4,279,normal_car.4,1,6996,1.03,0,13.97,normal_car,,0,0
287,End_2,1000,0,16.24,5,0.59,Beg_2,0,0,0,tripinfo_normal_car.3 routing_normal_car.3,282,normal_car.3,1,7006,1.08,0,19.14,normal_car,,0,0
289,End_2,1000,0,15.69,9,0.18,Beg_3,10,0,0,tripinfo_normal_car.6 routing_normal_car.6,280,normal_car.6,1,6996,1.05,0,15.3,normal_car,,0,0
291,End_2,1000,0,16.36,15,0.3,Beg_3,10,0,0,tripinfo_normal_car.10 routing_normal_car.10,276,normal_car.10,1,6996,1.09,0,14.52,normal_car,,0,0
297,End_2,1000,0,15.71,18,0.36,Beg_2,10,0,0,tripinfo_normal_car.12 routing_normal_car.12,279,normal_car.12,1,6996,1.05,0,14.59,normal_car,,0,0
297,End_3,1000,0,16.84,20,0.89,Beg_3,0,0,0,tripinfo_normal_car.13 routing_normal_car.13,277,normal_car.13,1,7006,1.12,0,16.81,normal_car,,0,0
300,End_2,1000,0,14.07,2,0.53,Beg_3,0,0,0,tripinfo_normal_car.1 routing_normal_car.1,298,normal_car.1,1,7006,0.94,0,15.11,normal_car,,0,0
300,End_3,1000,0,15.39,17,0.83,Beg_2,0,0,0,tripinfo_normal_car.11 routing_normal_car.11,283,normal_car.11,1,7006,1.03,0,17.43,normal_car,,0,0
306,End_2,1000,0,14.87,21,0.42,Beg_3,10,0,0,tripinfo_normal_car.14 routing_normal_car.14,285,normal_car.14,1,6996,0.99,0,16.01,normal_car,,0,0
309,End_2,1000,0,14.07,12,0.24,Beg_2,10,0,0,tripinfo_normal_car.8 routing_normal_car.8,297,normal_car.8,1,6996,0.94,0,13.89,normal_car,,0,0
312,End_1,1000,-0.25,24.1,50,0,Beg_1,0,0,0,tripinfo_bus.1 routing_bus.1,262,bus.1,1,7006,1,0,27.84,bus,,0,0
321,End_2,1000,0,15.27,30,0.6,Beg_3,0,0,0,tripinfo_normal_car.20 routing_normal_car.20,291,normal_car.20,1,7006,1.02,0,25.08,normal_car,,0,0
323,End_2,1000,0,14.04,27,0.54,Beg_2,29.5,0,0,tripinfo_normal_car.18 routing_normal_car.18,296,normal_car.18,1,6976.5,0.94,0,13.62,normal_car,,0,0
325,End_2,1000,0,14.63,33,0.66,Beg_3,52.6,0,0,tripinfo_normal_car.22 routing_normal_car.22,292,normal_car.22,1,6953.4,0.98,0,19.61,normal_car,,0,0
326,End_3,1000,-1,15.15,31,0.13,Beg_3,39,0,0,tripinfo_normal_car.21 routing_normal_car.21,295,normal_car.21,1,6967,1.01,0,29.21,normal_car,,0,0
327,End_2,1000,0,13.29,11,0.71,Beg_2,0,0,0,tripinfo_normal_car.7 routing_normal_car.7,316,normal_car.7,1,7006,0.89,0,18.09,normal_car,,0,0
327,End_3,1000,0,16.51,42,0.84,Beg_3,0,0,0,tripinfo_normal_car.28 routing_normal_car.28,285,normal_car.28,1,7006,1.13,0,25.37,normal_car,,0,0
328,End_2,1000,0.1,14.49,28,0.07,Beg_3,19.5,0,0,tripinfo_normal_car.19 routing_normal_car.19,300,normal_car.19,1,6986.5,1.16,0,42.58,normal_car,,0,0
329,End_3,1000,-1,17.58,49,0.49,Beg_3,19.5,0,0,tripinfo_normal_car.33 routing_normal_car.33,280,normal_car.33,1,6986.5,1.17,0,22.56,normal_car,,0,0
330,End_2,1000,0,13.9,23,0.95,Beg_2,0,0,0,tripinfo_normal_car.15 routing_normal_car.15,307,normal_car.15,1,7006,0.93,0,20.83,normal_car,,0,0
332,End_2,1000,0,14.12,25,0.01,Beg_3,0,0,0,tripinfo_normal_car.17 routing_normal_car.17,307,normal_car.17,1,7006,0.94,0,24.55,normal_car,,0,0
334,End_3,1000,0,17.32,46,0.43,Beg_3,0,0,0,tripinfo_normal_car.31 routing_normal_car.31,288,normal_car.31,1,7006,1.15,0,29.67,normal_car,,0,0
335,End_2,1000,0,15.08,48,0.96,Beg_2,0,0,0,tripinfo_normal_car.32 routing_normal_car.32,287,normal_car.32,1,7006,1.01,0,19.2,normal_car,,0,0
338,End_3,1000,0,14.92,50,0.02,Beg_2,13.6,0,0,tripinfo_normal_car.34 routing_normal_car.34,288,normal_car.34,1,6992.4,0.99,0,19.98,normal_car,,0,0
339,End_2,1000,0,12.47,8,0.65,Beg_3,0,0,0,tripinfo_normal_car.5 routing_normal_car.5,331,normal_car.5,1,7006,0.83,0,15.2,normal_car,,0,0
340,End_2,1000,0,12.85,14,0.77,Beg_3,0,0,0,tripinfo_normal_car.9 routing_normal_car.9,326,normal_car.9,1,7006,0.86,0,19.47,normal_car,,0,0
342,End_3,1000,0,13.18,24,0.48,Beg_2,10,0,0,tripinfo_normal_car.16 routing_normal_car.16,318,normal_car.16,1,6996,0.88,0,18.51,normal_car,,0,0
342,End_2,1000,0.1,14.87,45,0.9,Beg_3,83,0,0,tripinfo_normal_car.30 routing_normal_car.30,297,normal_car.30,1,6923,1.18,0,41.9,normal_car,,0,0
344,End_2,1000,0,16.53,56,0.14,Beg_3,29.5,0,0,tripinfo_normal_car.38 routing_normal_car.38,288,normal_car.38,1,6976.5,1.1,0,27.58,normal_car,,0,0
347,End_3,1000,0,15.57,64,0.79,Beg_3,0,0,0,tripinfo_normal_car.43 routing_normal_car.43,283,normal_car.43,1,7006,1.04,0,18.29,normal_car,,0,0
348,End_2,1000,0,14.23,40,0.31,Beg_3,16.1,0,0,tripinfo_normal_car.27 routing_normal_car.27,308,normal_car.27,1,6989.9,0.95,0,27.8,normal_car,,0,0
349,End_2,1000,0,15.71,62,0.26,Beg_3,76.4,0,0,tripinfo_normal_car.42 routing_normal_car.42,287,normal_car.42,1,6929.6,1.09,0,27.84,normal_car,,0,0
350,End_3,1000,-1,16.32,67,0.85,Beg_2,13.6,0,0,tripinfo_normal_car.45 routing_normal_car.45,283,normal_car.45,1,6992.4,1.09,0,21.09,normal_car,,0,0
352,End_2,1000,0,13.09,37,0.25,Beg_2,10,0,0,tripinfo_normal_car.25 routing_normal_car.25,315,normal_car.25,1,6996,0.87,0,13.99,normal_car,,0,0
352,End_3,1000,0,16.44,78,0.09,Beg_3,68.5,0,0,tripinfo_normal_car.53 routing_normal_car.53,274,normal_car.53,1,6937.5,1.1,0,14.67,normal_car,,0,0
354,End_2,1000,0,13.76,39,0.78,Beg_3,36.1,0,0,tripinfo_normal_car.26 routing_normal_car.26,315,normal_car.26,1,6969.9,0.92,0,27.03,normal_car,,0,0
354,End_3,1000,0,17.53,75,0.03,Beg_3,49,0,0,tripinfo_normal_car.51 routing_normal_car.51,279,normal_car.51,1,6957,1.17,0,22.55,normal_car,,0,0
355,End_2,1000,0,13.34,34,0.19,Beg_3,0,0,0,tripinfo_normal_car.23 routing_normal_car.23,321,normal_car.23,1,7006,0.89,0,24.79,normal_car,,0,0
355,End_3,1000,0,17.69,55,0.61,Beg_2,0,0,0,tripinfo_normal_car.37 routing_normal_car.37,300,normal_car.37,1,7006,1.18,0,42.89,normal_car,,0,0
357,End_2,1000,0,13.97,43,0.37,Beg_2,0,0,0,tripinfo_normal_car.29 routing_normal_car.29,314,normal_car.29,1,7006,0.93,0,29.08,normal_car,,0,0
358,End_3,1000,0,15.3,52,0.55,Beg_3,0,0,0,tripinfo_normal_car.35 routing_normal_car.35,306,normal_car.35,1,7006,1.02,0,39.44,normal_car,,0,0
358,End_2,1000,0,15.17,65,0.32,Beg_2,0,0,0,tripinfo_normal_car.44 routing_normal_car.44,293,normal_car.44,1,7006,1.04,0,28.5,normal_car,,0,0
360,End_3,1000,0,14.6,53,0.08,Beg_3,10,0,0,tripinfo_normal_car.36 routing_normal_car.36,307,normal_car.36,1,6996,0.97,0,33.46,normal_car,,0,0
360,End_2,1000,0,14.36,61,0.73,Beg_3,13.6,0,0,tripinfo_normal_car.41 routing_normal_car.41,299,normal_car.41,1,6992.4,0.96,0,21.44,normal_car,,0,0
362,End_2,1000,0,15.25,77,0.56,Beg_3,0,0,0,tripinfo_normal_car.52 routing_normal_car.52,285,normal_car.52,1,7006,1.02,0,18.03,normal_car,,0,0
362,End_3,1000,0,17.14,84,0.21,Beg_2,83,0,0,tripinfo_normal_car.57 routing_normal_car.57,278,normal_car.57,1,6923,1.14,0,21.5,normal_car,,0,0
363,End_2,1000,0,16.24,89,0.8,Beg_2,119.1,0,0,tripinfo_normal_car.60 routing_normal_car.60,274,normal_car.60,1,6886.9,1.08,0,15.57,normal_car,,0,0
365,End_1,1000,-0.25,30,100,0,Beg_1,0,0,0,tripinfo_bus.2 routing_bus.2,265,bus.2,1,7006,1,0,31.31,bus,,0,0
373,End_2,1000,0,13.51,58,0.67,Beg_2,19.5,0,0,tripinfo_normal_car.39 routing_normal_car.39,315,normal_car.39,1,6986.5,0.9,0,22.2,normal_car,,0,0
374,End_3,1000,-1,15.46,59,0.2,Beg_3,0,0,0,tripinfo_normal_car.40 routing_normal_car.40,315,normal_car.40,1,7006,1.03,0,49.61,normal_car,,0,0
