tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
246.00;End_1;1000.00;0.00;30.00;0.00;0.00;Beg_1;7.60;0.00;0.00;tripinfo_hov.0 routing_hov.0;246.00;hov.0;1;6998.40;1.01;0.00;12.00;hov;;0;0.00
247.00;End_1;1000.00;0.00;30.00;0.00;0.00;Beg_1;0.00;0.00;0.00;tripinfo_bus.0 routing_bus.0;247.00;bus.0;1;7006.00;1.00;0.00;13.00;bus;;1;1.00
292.00;End_1;1000.00;0.00;24.93;5.00;0.83;Beg_2;0.00;0.00;0.00;tripinfo_paying_car.1 routing_paying_car.1;287.00;paying_car.1;1;7006.00;0.83;0.00;12.09;paying_car;;0;0.00
293.00;End_1;1000.00;0.00;25.71;9.00;0.67;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.2 routing_paying_car.2;284.00;paying_car.2;1;7006.00;0.86;0.00;16.64;paying_car;;0;0.00
294.00;End_1;1000.00;0.00;26.13;13.00;0.50;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.3 routing_paying_car.3;281.00;paying_car.3;1;7006.00;1.05;0.00;47.44;paying_car;;0;0.00
296.00;End_1;1000.00;0.00;27.33;0.00;0.00;Beg_3;0.00;0.00;0.00;tripinfo_paying_car.0 routing_paying_car.0;296.00;paying_car.0;1;7006.00;0.94;0.00;40.06;paying_car;;0;0.00
297.00;End_1;1000.00;0.00;27.33;17.00;0.34;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.4 routing_paying_car.4;280.00;paying_car.4;1;7006.00;0.93;0.00;30.15;paying_car;;0;0.00
298.00;End_1;1000.00;0.00;27.33;21.00;0.17;Beg_1;0.00;0.00;0.00;tripinfo_paying_car.5 routing_paying_car.5;277.00;paying_car.5;1;7006.00;1.02;0.00;43.28;paying_car;;0;0.00
418.00;End_2;1000.00;0.00;16.24;2.00;0.28;Beg_2;13.60;0.00;0.00;tripinfo_normal_car.1 routing_normal_car.1;416.00;normal_car.1;1;6992.40;1.08;0.00;13.04;normal_car;;0;0.00
419.00;End_1;1000.00;0.00;18.04;17.00;0.33;Beg_2;10.00;0.00;0.00;tripinfo_hov.1 routing_hov.1;402.00;hov.1;1;6996.00;0.88;0.00;140.90;hov;;0;0.00
