Value,State,Volume
382,"1,1",High
652,"1,1",High
643,"1,1",High
635,"1,1",High
634,"1,1",High
633,"1,1",High
624,"1,1",High
623,"1,1",High
619,"1,1",High
618,"1,1",High
616,"1,1",High
616,"1,1",High
615,"1,1",High
614,"1,1",High
613,"1,1",High
613,"1,1",High
612,"1,1",High
612,"1,1",High
611,"1,1",High
611,"1,1",High
610,"1,1",High
610,"1,1",High
610,"1,1",High
609,"1,1",High
609,"1,1",High
607,"1,1",High
606,"1,1",High
605,"1,1",High
605,"1,1",High
605,"1,1",High
604,"1,1",High
602,"1,1",High
601,"1,1",High
600,"1,1",High
599,"1,1",High
599,"1,1",High
599,"1,1",High
599,"1,1",High
598,"1,1",High
598,"1,1",High
598,"1,1",High
597,"1,1",High
597,"1,1",High
597,"1,1",High
596,"1,1",High
596,"1,1",High
595,"1,1",High
595,"1,1",High
595,"1,1",High
595,"1,1",High
595,"1,1",High
594,"1,1",High
594,"1,1",High
593,"1,1",High
593,"1,1",High
593,"1,1",High
593,"1,1",High
593,"1,1",High
593,"1,1",High
592,"1,1",High
592,"1,1",High
592,"1,1",High
591,"1,1",High
591,"1,1",High
591,"1,1",High
590,"1,1",High
590,"1,1",High
589,"1,1",High
589,"1,1",High
589,"1,1",High
589,"1,1",High
589,"1,1",High
589,"1,1",High
589,"1,1",High
588,"1,1",High
588,"1,1",High
588,"1,1",High
587,"1,1",High
587,"1,1",High
587,"1,1",High
587,"1,1",High
587,"1,1",High
586,"1,1",High
586,"1,1",High
586,"1,1",High
586,"1,1",High
586,"1,1",High
585,"1,1",High
585,"1,1",High
585,"1,1",High
585,"1,1",High
584,"1,1",High
584,"1,1",High
584,"1,1",High
583,"1,1",High
583,"1,1",High
583,"1,1",High
583,"1,1",High
582,"1,1",High
582,"1,1",High
582,"1,1",High
582,"1,1",High
582,"1,1",High
582,"1,1",High
581,"1,1",High
581,"1,1",High
581,"1,1",High
581,"1,1",High
581,"1,1",High
581,"1,1",High
581,"1,1",High
581,"1,1",High
581,"1,1",High
581,"1,1",High
